Wildhorse,Montana,3323,US-Canada Border,2020-01-01,Trucks,83,48.999,-110.215,POINT (-110.215083 48.999361)
Trout River,New York,715,US-Canada Border,2020-01-01,Train Passengers,102,44.992,-74.308,POINT (-74.308172 44.992058)
Derby Line,Vermont,209,US-Canada Border,2020-01-01,Truck Containers Loaded,5959,45.006,-72.099,POINT (-72.099279 45.005739)
Lukeville,Arizona,2602,US-Mexico Border,2020-01-01,Truck Containers Loaded,25,31.88,-112.817,POINT (-112.817077 31.880195)
Detroit,Michigan,3801,US-Canada Border,2020-01-01,Rail Containers Loaded,7858,42.332,-83.048,POINT (-83.047924 42.331685)
Calais,Maine,115,US-Canada Border,2020-01-01,Bus Passengers,143,45.189,-67.275,POINT (-67.275381 45.188548)
Oroville,Washington,3019,US-Canada Border,2020-01-01,Truck Containers Loaded,1284,49,-119.462,POINT (-119.461833 49.000083)
Carbury,North Dakota,3421,US-Canada Border,2020-01-01,Bus Passengers,84,48.999,-100.556,POINT (-100.555805 48.999416)
Alcan,Alaska,3104,US-Canada Border,2020-01-01,Truck Containers Empty,430,62.615,-141.001,POINT (-141.001444 62.614961)
Blaine,Washington,3004,US-Canada Border,2020-01-01,Personal Vehicles,260601,48.994,-122.749,POINT (-122.748884 48.994045)
Santa Teresa,New Mexico,2408,US-Mexico Border,2020-01-01,Truck Containers Empty,5197,31.784,-106.679,POINT (-106.679437 31.783939)
Blaine,Washington,3004,US-Canada Border,2020-01-01,Truck Containers Loaded,18271,48.994,-122.749,POINT (-122.748884 48.994045)
Ogdensburg,New York,701,US-Canada Border,2020-01-01,Buses,9,44.733,-75.458,POINT (-75.4577501759 44.7330898624)
Sweetgrass,Montana,3310,US-Canada Border,2020-01-01,Truck Containers Loaded,9787,48.998,-111.96,POINT (-111.959611 48.998388)
Columbus,New Mexico,2406,US-Mexico Border,2020-01-01,Pedestrians,25043,31.784,-107.628,POINT (-107.627948 31.783742)
Danville,Washington,3012,US-Canada Border,2020-01-01,Personal Vehicle Passengers,3134,49,-118.504,POINT (-118.503722 49.000083)
Massena,New York,704,US-Canada Border,2020-01-01,Bus Passengers,3095,44.991,-74.74,POINT (-74.739722 44.990556)
Eastport,Maine,103,US-Canada Border,2020-01-01,Truck Containers Empty,73,44.859,-66.98,POINT (-66.98007566 44.8594395785)
Grand Portage,Minnesota,3613,US-Canada Border,2020-01-01,Truck Containers Loaded,764,48.001,-89.585,POINT (-89.58515 48.001427)
Wildhorse,Montana,3323,US-Canada Border,2020-01-01,Personal Vehicles,491,48.999,-110.215,POINT (-110.215083 48.999361)
Boundary,Washington,3015,US-Canada Border,2020-01-01,Bus Passengers,45,49.001,-117.628,POINT (-117.627583 49.00075)
Roma,Texas,2310,US-Mexico Border,2020-01-01,Personal Vehicles,63397,26.404,-99.019,POINT (-99.018981 26.403928)
Beecher Falls,Vermont,206,US-Canada Border,2020-01-01,Personal Vehicle Passengers,4466,45.013,-71.505,POINT (-71.505309 45.013411)
Westhope,North Dakota,3419,US-Canada Border,2020-01-01,Personal Vehicles,570,49,-101.017,POINT (-101.017277 48.999611)
Skagway,Alaska,3103,US-Canada Border,2020-01-01,Trucks,147,59.63,-135.164,POINT (-135.164444 59.629722)
Sherwood,North Dakota,3414,US-Canada Border,2020-01-01,Personal Vehicles,1022,48.999,-101.628,POINT (-101.627527 48.999305)
Ogdensburg,New York,701,US-Canada Border,2020-01-01,Personal Vehicle Passengers,32011,44.733,-75.458,POINT (-75.4577501759 44.7330898624)
Carbury,North Dakota,3421,US-Canada Border,2020-01-01,Trucks,129,48.999,-100.556,POINT (-100.555805 48.999416)
Rio Grande City,Texas,2307,US-Mexico Border,2020-01-01,Personal Vehicles,33126,26.366,-98.803,POINT (-98.802513 26.365761)
Naco,Arizona,2603,US-Mexico Border,2020-01-01,Truck Containers Empty,195,31.334,-109.948,POINT (-109.948413 31.334084)
Sumas,Washington,3009,US-Canada Border,2020-01-01,Personal Vehicles,58238,49.002,-122.265,POINT (-122.264805 49.002388)
Hidalgo,Texas,2305,US-Mexico Border,2020-01-01,Truck Containers Empty,18936,26.095,-98.271,POINT (-98.271092 26.095032)
Douglas,Arizona,2601,US-Mexico Border,2020-01-01,Personal Vehicles,119134,31.334,-109.56,POINT (-109.560344 31.334043)
Neche,North Dakota,3404,US-Canada Border,2020-01-01,Truck Containers Loaded,174,49.001,-97.557,POINT (-97.557333 49.000527)
Eagle Pass,Texas,2303,US-Mexico Border,2020-01-01,Buses,358,28.705,-100.512,POINT (-100.511977 28.705483)
Columbus,New Mexico,2406,US-Mexico Border,2020-01-01,Buses,118,31.784,-107.628,POINT (-107.627948 31.783742)
Calais,Maine,115,US-Canada Border,2020-01-01,Pedestrians,558,45.189,-67.275,POINT (-67.275381 45.188548)
Sumas,Washington,3009,US-Canada Border,2020-01-01,Trains,15,49.002,-122.265,POINT (-122.264805 49.002388)
International Falls,Minnesota,3604,US-Canada Border,2020-01-01,Rail Containers Loaded,55976,48.608,-93.401,POINT (-93.401355 48.6078)
Sherwood,North Dakota,3414,US-Canada Border,2020-01-01,Truck Containers Empty,384,48.999,-101.628,POINT (-101.627527 48.999305)
Warroad,Minnesota,3423,US-Canada Border,2020-01-01,Truck Containers Loaded,89,48.999,-95.377,POINT (-95.376555 48.999)
Laurier,Washington,3016,US-Canada Border,2020-01-01,Trucks,561,49,-118.224,POINT (-118.223777 49.000083)
Douglas,Arizona,2601,US-Mexico Border,2020-01-01,Truck Containers Empty,980,31.334,-109.56,POINT (-109.560344 31.334043)
Turner,Montana,3306,US-Canada Border,2020-01-01,Personal Vehicle Passengers,1332,49,-108.388,POINT (-108.387916 48.999527)
Port Huron,Michigan,3802,US-Canada Border,2020-01-01,Personal Vehicles,89180,42.999,-82.424,POINT (-82.423611 42.998611)
